"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","Polliwallop","blb","Near Mint","French","","","2024-08-28 18:55:11.363000","189","False","False",""
"2","2","Pond Prophet","blb","Near Mint","French","","","2024-08-28 18:33:44.263000","229","False","False",""
"1","1","Psychic Whorl","blb","Near Mint","French","","","2024-08-28 19:31:48.170000","105","False","False",""
"1","1","Ral, Crackling Wit","blb","Near Mint","French","","","2024-08-28 17:40:30.667000","230","False","False",""
"1","1","Ravine Raider","blb","Near Mint","French","","","2024-08-28 19:29:11.630000","106","False","False",""
"3","3","Rust-Shield Rampager","blb","Near Mint","French","","","2024-08-28 18:56:34.720000","190","False","False",""
"2","2","Ruthless Negotiation","blb","Near Mint","French","","","2024-08-28 19:27:47.017000","108","False","False",""
"2","2","Savor","blb","Near Mint","French","","","2024-08-28 19:28:21.910000","109","False","False",""
"1","1","Scales of Shale","blb","Near Mint","French","","","2024-08-28 19:31:12.653000","110","False","False",""
"1","1","Season of Gathering","blb","Near Mint","French","foil","","2024-08-28 18:54:09.827000","192","False","False",""
"1","1","Seedglaive Mentor","blb","Near Mint","French","","","2024-08-28 18:33:30.273000","231","False","False",""
"3","3","Seedpod Squire","blb","Near Mint","French","","","2024-08-28 17:43:31.697000","232","False","False",""
"1","1","Sinister Monolith","blb","Near Mint","French","foil","","2024-08-28 19:29:53.317000","113","False","False",""
"2","2","Starforged Sword","blb","Near Mint","French","","","2024-08-28 17:38:33.340000","249","False","False",""
"1","1","Stargaze","blb","Near Mint","French","","","2024-08-28 19:31:37.477000","114","False","False",""
"1","1","Starlit Soothsayer","blb","Near Mint","French","","","2024-08-28 19:29:01.343000","115","False","False",""
"1","1","Stickytongue Sentinel","blb","Near Mint","French","","","2024-08-28 19:15:52.257000","193","False","False",""
"1","1","Stormcatch Mentor","blb","Near Mint","French","","","2024-08-28 18:31:03.070000","234","False","False",""
"1","1","Sunshower Druid","blb","Near Mint","French","foil","","2024-08-28 18:57:35.243000","195","False","False",""
"2","2","Sunshower Druid","blb","Near Mint","French","","","2024-08-28 18:58:09.387000","195","False","False",""
"2","2","Swamp","blb","Near Mint","French","","","2024-08-28 19:33:39.483000","272","False","False",""
"1","1","Swamp","blb","Near Mint","French","","","2024-08-28 19:34:32.620000","273","False","False",""
"1","1","Swamp","blb","Near Mint","French","","","2024-08-28 19:33:58.580000","271","False","False",""
"1","1","Swamp","blb","Near Mint","French","foil","","2024-08-28 19:35:04.137000","373","False","False",""
"1","1","Swamp","blb","Near Mint","French","foil","","2024-08-28 19:34:50.767000","374","False","False",""
"1","1","Swamp","blb","Near Mint","French","foil","","2024-08-28 19:34:18.203000","271","False","False",""
"4","4","Swamp","blb","Near Mint","French","","","2024-08-28 19:33:01.533000","270","False","False",""
"2","2","Tangle Tumbler","blb","Near Mint","French","","","2024-08-28 17:37:33.887000","250","False","False",""
"2","2","Thornplate Intimidator","blb","Near Mint","French","","","2024-08-28 19:28:00.843000","117","False","False",""
"1","1","Thought-Stalker Warlock","blb","Near Mint","French","","","2024-08-28 19:30:45.527000","118","False","False",""
"2","2","Three Tree Mascot","blb","Near Mint","French","","","2024-08-28 17:38:50.133000","251","False","False",""
"5","5","Three Tree Rootweaver","blb","Near Mint","French","","","2024-08-28 18:53:34.493000","198","False","False",""
"2","2","Treeguard Duo","blb","Near Mint","French","","","2024-08-28 18:58:25.680000","200","False","False",""
"1","1","Treetop Sentries","blb","Near Mint","French","","","2024-08-28 19:16:53.880000","201","False","False",""
"2","2","Uncharted Haven","blb","Near Mint","French","","","2024-08-28 17:39:23.940000","261","False","False",""
"1","1","Uncharted Haven","blb","Near Mint","French","foil","","2024-08-28 17:39:44.807000","261","False","False",""
"1","1","Valley Mightcaller","blb","Near Mint","French","","","2024-08-28 19:16:44.203000","202","False","False",""
"3","3","Veteran Guardmouse","blb","Near Mint","French","","","2024-08-28 17:44:23.773000","237","False","False",""
"1","1","Vinereap Mentor","blb","Near Mint","French","","","2024-08-28 18:34:20.940000","238","False","False",""
"1","1","Wandertale Mentor","blb","Near Mint","French","","","2024-08-28 17:41:09.300000","240","False","False",""
